Date,Transaction Description,Debit,Credit,Currency,Card Name,Transaction,Location
02/12/18 00:00:00,STIC TRAVELS PVT LTD DELHI         ,0.00,32256 .00,INR,Rahul,Domestic,DELHI
02/13/18 00:00:00,FLIPKART INTERNET PRIVATE BANGALORE,21168.00,0.00,INR,Rahul,Domestic,BANGALORE
02/13/18 00:00:00,SRILANKANUPGRADE KATUNAYAKE ,6.00,0.00,EUR,Rahul,International,KATUNAYAKE
02/14/18 00:00:00,AIRTEL PAYMENT MUMBAI              ,1297.00,0.00,INR,Rahul,Domestic,MUMBAI
02/14/18 00:00:00,AIRTEL PAYMENT CHENNAI             ,0.00,902 .00,INR,Rahul,Domestic,CHENNAI
02/14/18 00:00:00,FLEMINGO DUTY FREE Mumbai          ,18796.99,0.00,INR,Rahul,Domestic,Mumbai
02/14/18 00:00:00,FOOT RUB BERLIN ,20.00,0.00,EUR,Rahul,International,BERLIN
02/14/18 00:00:00,HEALTHGUARD LIMITED KATUNAYAKE ,0.00,5 .00,USD,Rahul,International,KATUNAYAKE
02/17/18 00:00:00,BIKANERVALA GURGAON                ,325.00,0.00,INR,Ritu,Domestic,GURGAON
02/17/18 00:00:00,PAYTM NOIDA                        ,165.00,0.00,INR,Ritu,Domestic,NOIDA
02/19/18 00:00:00,VFS GLOBAL SERVICES PVT MUMBAI     ,1200.00,0.00,INR,Ritu,Domestic,MUMBAI
02/20/18 00:00:00,California Games CALIFORNIA ,100.00,0.00,USD,Rahul,International,CALIFORNIA
02/21/18 00:00:00,Amazon Seller Services BANGALORE   ,0.00,2155 .00,INR,Ritu,Domestic,BANGALORE
02/22/18 00:00:00,FLIPKART INTERNET PRIVATE BANGALORE,5000.00,0.00,INR,Rahul,Domestic,BANGALORE
02/30/18 00:00:00,NewYorkShop NEWYORK ,0.00,200 .00,USD,Rahul,International,NEWYORK
03/08/18 00:00:00,EURO WINGS DUSSELDOR ,5.00,0.00,EUR,Rahul,International,DUSSELDOR
